id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,12,40,20,2,"[8, 4]",1,4,0.756
2,Clifford+T,12,40,20,2,"[11, 3]",2,16,0.804
3,Clifford+T,12,40,20,2,"[2, 11]",1,4,0.677
4,Clifford+T,12,40,20,2,"[3, 9]",1,4,0.713
5,Clifford+T,12,40,20,2,"[11, 2]",2,16,0.622
6,Clifford+T,12,40,20,2,"[6, 8]",2,16,0.664
7,Clifford+T,12,40,20,2,"[8, 5]",1,4,0.569
8,Clifford+T,12,40,20,2,"[11, 2]",2,16,0.725
9,Clifford+T,12,40,20,2,"[7, 6]",1,4,0.563
10,Clifford+T,12,40,20,2,"[5, 9]",2,16,0.804
