id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,16,40,20,2,"[9, 8]",1,4,0.67
2,Clifford+T,16,40,20,2,"[10, 6]",1,4,0.527
3,Clifford+T,16,40,20,2,"[13, 2]",1,4,0.659
4,Clifford+T,16,40,20,2,"[8, 9]",1,4,0.464
5,Clifford+T,16,40,20,2,"[7, 8]",1,4,0.497
6,Clifford+T,16,40,20,2,"[2, 14]",1,4,0.69
7,Clifford+T,16,40,20,2,"[6, 11]",1,4,0.519
8,Clifford+T,16,40,20,2,"[12, 3]",1,4,0.593
9,Clifford+T,16,40,20,2,"[12, 3]",1,4,0.637
10,Clifford+T,16,40,20,2,"[13, 2]",1,4,0.568
