id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,10,40,20,2,"[3, 9]",2,16,0.831
2,Clifford+T,10,40,20,2,"[2, 9]",1,4,0.802
3,Clifford+T,10,40,20,2,"[9, 3]",2,16,1.035
4,Clifford+T,10,40,20,2,"[3, 8]",1,4,0.725
5,Clifford+T,10,40,20,2,"[9, 3]",2,16,0.842
6,Clifford+T,10,40,20,2,"[5, 7]",2,16,0.765
7,Clifford+T,10,40,20,2,"[9, 2]",1,4,1.352
8,Clifford+T,10,40,20,2,"[9, 2]",1,4,1.07
9,Clifford+T,10,40,20,2,"[9, 3]",2,16,0.854
10,Clifford+T,10,40,20,2,"[5, 6]",1,4,0.651
