id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,7,40,20,2,"[4, 5]",2,16,0.558
2,Clifford+T,7,40,20,2,"[4, 5]",2,16,0.603
3,Clifford+T,7,40,20,2,"[6, 2]",2,16,0.56
4,Clifford+T,7,40,20,2,"[3, 6]",2,16,0.524
5,Clifford+T,7,40,20,2,"[2, 5]",1,4,0.506
6,Clifford+T,7,40,20,2,"[4, 5]",2,16,0.584
7,Clifford+T,7,40,20,2,"[6, 2]",2,16,0.574
8,Clifford+T,7,40,20,2,"[5, 3]",2,16,0.521
9,Clifford+T,7,40,20,2,"[4, 5]",2,16,0.585
10,Clifford+T,7,40,20,2,"[5, 4]",2,16,0.52
