id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,15,40,20,2,"[10, 6]",1,4,0.535
2,Clifford+T,15,40,20,2,"[9, 7]",1,4,0.488
3,Clifford+T,15,40,20,2,"[5, 11]",1,4,0.524
4,Clifford+T,15,40,20,2,"[8, 8]",2,16,0.575
5,Clifford+T,15,40,20,2,"[9, 6]",1,4,0.459
6,Clifford+T,15,40,20,2,"[5, 9]",1,4,0.474
7,Clifford+T,15,40,20,2,"[5, 9]",1,4,0.555
8,Clifford+T,15,40,20,2,"[4, 11]",1,4,0.657
9,Clifford+T,15,40,20,2,"[13, 3]",1,4,0.751
10,Clifford+T,15,40,20,2,"[2, 13]",1,4,0.595
