id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,5,40,20,2,"[3, 4]",2,16,0.405
2,Clifford+T,5,40,20,2,"[4, 3]",2,16,0.432
3,Clifford+T,5,40,20,2,"[3, 4]",2,16,0.441
4,Clifford+T,5,40,20,2,"[3, 4]",2,16,0.435
5,Clifford+T,5,40,20,2,"[3, 4]",2,16,0.457
6,Clifford+T,5,40,20,2,"[3, 4]",2,16,0.431
7,Clifford+T,5,40,20,2,"[4, 3]",2,16,0.461
8,Clifford+T,5,40,20,2,"[3, 3]",1,4,0.445
9,Clifford+T,5,40,20,2,"[4, 3]",2,16,0.43
10,Clifford+T,5,40,20,2,"[3, 4]",2,16,0.422
