id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,11,40,20,2,"[7, 6]",2,16,0.771
2,Clifford+T,11,40,20,2,"[8, 5]",2,16,0.716
3,Clifford+T,11,40,20,2,"[9, 3]",1,4,0.524
4,Clifford+T,11,40,20,2,"[9, 3]",1,4,0.503
5,Clifford+T,11,40,20,2,"[9, 2]",1,4,0.486
6,Clifford+T,11,40,20,2,"[3, 8]",1,4,0.542
7,Clifford+T,11,40,20,2,"[10, 2]",1,4,0.727
8,Clifford+T,11,40,20,2,"[5, 7]",1,4,0.447
9,Clifford+T,11,40,20,2,"[3, 8]",1,4,0.55
10,Clifford+T,11,40,20,2,"[3, 9]",1,4,0.49
