id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,9,40,20,2,"[3, 8]",2,16,0.649
2,Clifford+T,9,40,20,2,"[8, 2]",1,4,0.531
3,Clifford+T,9,40,20,2,"[5, 5]",1,4,0.523
4,Clifford+T,9,40,20,2,"[7, 3]",2,16,0.565
5,Clifford+T,9,40,20,2,"[5, 6]",2,16,0.537
6,Clifford+T,9,40,20,2,"[8, 2]",1,4,0.615
7,Clifford+T,9,40,20,2,"[8, 3]",2,16,0.533
8,Clifford+T,9,40,20,2,"[7, 2]",1,4,0.575
9,Clifford+T,9,40,20,2,"[6, 4]",1,4,0.518
10,Clifford+T,9,40,20,2,"[7, 4]",2,16,0.627
