id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,QuantumVolume,5,111,21,2,"[3, 3]",2,16,1.018
2,QuantumVolume,5,112,22,2,"[4, 3]",2,16,0.901
3,QuantumVolume,5,111,21,2,"[3, 4]",2,16,0.839
4,Clifford+T,5,40,20,2,"[4, 3]",2,16,0.459
5,QuantumVolume,5,112,22,2,"[4, 2]",2,16,0.994
6,Clifford+T,5,40,20,2,"[4, 3]",2,16,0.404
7,QuantumVolume,5,111,21,2,"[4, 2]",1,4,0.931
8,QuantumVolume,5,111,21,2,"[4, 3]",2,16,0.864
9,Clifford+T,5,40,20,2,"[3, 4]",2,16,0.417
10,QuantumVolume,5,111,21,2,"[3, 3]",1,4,0.831
