id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,15,40,20,2,"[9, 6]",1,4,0.416
2,Clifford+T,15,40,20,2,"[5, 9]",1,4,0.497
3,Clifford+T,15,40,20,2,"[12, 2]",1,4,0.518
4,Clifford+T,15,40,20,2,"[10, 5]",2,16,0.583
5,Clifford+T,15,40,20,2,"[7, 8]",1,4,0.444
6,Clifford+T,15,40,20,2,"[10, 6]",1,4,0.49
7,Clifford+T,15,40,20,2,"[2, 13]",1,4,0.503
8,Clifford+T,15,40,20,2,"[12, 5]",2,16,0.55
9,Clifford+T,15,40,20,2,"[4, 11]",1,4,0.467
10,Clifford+T,15,40,20,2,"[13, 2]",1,4,0.542
