id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,11,40,20,2,"[2, 10]",1,4,0.622
2,Clifford+T,11,40,20,2,"[3, 9]",1,4,0.591
3,Clifford+T,11,40,20,2,"[7, 6]",2,16,0.587
4,Clifford+T,11,40,20,2,"[3, 9]",1,4,0.611
5,Clifford+T,11,40,20,2,"[7, 6]",2,16,0.589
6,Clifford+T,11,40,20,2,"[8, 2]",1,4,0.552
7,Clifford+T,11,40,20,2,"[8, 3]",1,4,0.571
8,Clifford+T,11,40,20,2,"[10, 2]",1,4,0.591
9,Clifford+T,11,40,20,2,"[3, 10]",2,16,0.618
