id,family,n_qubits,total_gates,two_qubit_gates,num_fragments,fragment_sizes,num_cuts,total_variations,cut_time_s
1,Clifford+T,9,40,20,2,"[3, 8]",2,16,0.603
2,QuantumVolume,9,397,73,2,"[6, 5]",2,16,4.617
3,Clifford+T,9,40,20,2,"[8, 3]",2,16,0.547
4,Clifford+T,9,40,20,2,"[8, 2]",1,4,0.552
5,Clifford+T,9,40,20,2,"[8, 2]",1,4,0.539
6,Clifford+T,9,40,20,2,"[7, 3]",2,16,0.537
7,QuantumVolume,9,397,73,2,"[6, 5]",2,16,7.666
8,Clifford+T,9,40,20,2,"[8, 2]",1,4,0.539
9,Clifford+T,9,40,20,2,"[3, 7]",1,4,0.455
10,Clifford+T,9,40,20,2,"[8, 3]",2,16,0.636
