circuit_name,circuit_qubits,observable,mode,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
3_Clifford+T_070,7,ZIIIIII,cut_incremental_budget,aer.fake_torino,-0.9999999999999997,-0.6,0.3999999999999997,0.057399999999999674,728.6287173400633,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
3_Clifford+T_070,7,ZIIIIII,cut_incremental_qubit_prop,aer.fake_torino,-0.9999999999999997,-0.6,0.3999999999999997,0.057399999999999674,716.4227303619264,20000,14400,5600,2,32,20000,14400,556,694,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
3_Clifford+T_070,7,ZIIIIII,cut_qubit_prop,aer.fake_torino,-0.9999999999999997,-0.6366906474820144,0.36330935251798524,0.020709352517985224,79.13048865401652,20000,20000,0,2,32,20000,20000,556,694,556,694,[694-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694-556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-556]
3_Clifford+T_070,7,ZIIIIII,noisy_vanilla,aer.fake_torino,-0.9999999999999997,-0.6573999999999997,0.3426,0.6573999999999997,2.6233845609240234,20000,20000,0,,,,,,,,,
4_QuantumVolume_096,7,ZIIIIII,cut_divided_budget,aer.fake_torino,0.17507075947735673,0.12203775999999998,0.05303299947735675,0.009262239999999991,431.2127643019194,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
4_QuantumVolume_096,7,ZIIIIII,cut_incremental_budget,aer.fake_torino,0.17507075947735673,0.0232,0.15187075947735673,0.10809999999999997,727.3427848529536,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
4_QuantumVolume_096,7,ZIIIIII,cut_incremental_qubit_prop,aer.fake_torino,0.17507075947735673,0.0232,0.15187075947735673,0.10809999999999997,690.235173847992,20000,14400,5600,2,32,20000,14400,556,694,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
4_QuantumVolume_096,7,ZIIIIII,cut_qubit_prop,aer.fake_torino,0.17507075947735673,0.146305434038936,0.028765325438420725,0.015005434038936033,83.34186385001522,20000,20000,0,2,32,20000,20000,556,694,556,694,[556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694]
4_QuantumVolume_096,7,ZIIIIII,noisy_vanilla,aer.fake_torino,0.17507075947735673,0.13129999999999997,0.04377075947735676,0.13129999999999997,2.192085816990584,20000,20000,0,,,,,,,,,
5_HEA_099,7,ZIIIIII,cut_divided_budget,aer.fake_torino,0.0621021796855894,0.03433472000000011,0.027767459685589288,0.017865279999999886,98.17287827504333,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
5_HEA_099,7,ZIIIIII,cut_incremental_budget,aer.fake_torino,0.0621021796855894,-0.0024000000000001407,0.06450217968558954,0.054600000000000135,696.1310245179338,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
5_HEA_099,7,ZIIIIII,cut_incremental_qubit_prop,aer.fake_torino,0.0621021796855894,-0.0024000000000001407,0.06450217968558954,0.054600000000000135,707.1903760849964,20000,14400,5600,2,32,20000,14400,556,694,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
5_HEA_099,7,ZIIIIII,cut_qubit_prop,aer.fake_torino,0.0621021796855894,0.12363423382331598,0.06153205413772658,0.07143423382331598,76.90051038295496,20000,20000,0,2,32,20000,20000,556,694,556,694,[556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-556-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694-694]
5_HEA_099,7,ZIIIIII,noisy_vanilla,aer.fake_torino,0.0621021796855894,0.052199999999999996,0.009902179685589402,0.052199999999999996,2.157513470039703,20000,20000,0,,,,,,,,,
6_QuantumVolume_102,7,ZIIIIII,cut_divided_budget,aer.fake_torino,-0.28075599948320057,-0.21346048,0.06729551948320056,0.04486048000000001,390.53230829397216,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
