circuit_name,circuit_qubits,observable,mode,backend,perf_exp_val,result,absolute_error,distance_to_noisy_vanilla,time_total_s,shots_requested,shots_executed,shots_saved,num_fragments,num_variants,total_allocated_variant_shots,total_executed_variant_shots,min_allocated_shots_per_variant,max_allocated_shots_per_variant,min_executed_shots_per_variant,max_executed_shots_per_variant,executed_shots_per_variant
0_Clifford+T_004,9,ZIIIIIIII,cut_divided_budget,aer.fake_torino,0.0,0.011927039999999991,0.011927039999999991,0.0026270400000000024,88.4800559009891,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
0_Clifford+T_004,9,ZIIIIIIII,cut_incremental_budget,aer.fake_torino,0.0,-0.0048000000000000265,0.0048000000000000265,0.014100000000000015,712.9012785260566,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
0_Clifford+T_004,9,ZIIIIIIII,cut_incremental_qubit_prop,aer.fake_torino,0.0,0.01501466275659824,0.01501466275659824,0.005714662756598252,600.3774803930428,20000,12656,7344,2,32,20000,12656,341,909,341,450,[341-341-341-341-341-341-341-341-341-341-341-341-341-341-341-341-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
0_Clifford+T_004,9,ZIIIIIIII,cut_qubit_prop,aer.fake_torino,0.0,0.002397013894937839,0.002397013894937839,0.00690298610506215,74.56011864100583,20000,20000,0,2,32,20000,20000,341,909,341,909,[341-341-341-341-341-341-341-341-341-341-341-341-341-341-341-341-909-909-909-909-909-909-909-909-909-909-909-909-909-909-909-909]
0_Clifford+T_004,9,ZIIIIIIII,noisy_vanilla,aer.fake_torino,0.0,0.009299999999999989,0.009299999999999989,0.009299999999999989,3.05075182300061,20000,20000,0,,,,,,,,,
1_QuantumVolume_012,9,ZIIIIIIII,cut_divided_budget,aer.fake_torino,-0.2038424519663966,-0.196928,0.0069144519663966175,0.0687280000000001,1254.6305574770086,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
1_QuantumVolume_012,9,ZIIIIIIII,cut_incremental_budget,aer.fake_torino,-0.2038424519663966,-0.003199999999999946,0.20064245196639666,0.12499999999999994,684.498356756987,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
1_QuantumVolume_012,9,ZIIIIIIII,cut_incremental_qubit_prop,aer.fake_torino,-0.2038424519663966,-0.003199999999999946,0.20064245196639666,0.12499999999999994,655.4666978018358,20000,14400,5600,2,32,20000,14400,568,682,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
1_QuantumVolume_012,9,ZIIIIIIII,cut_qubit_prop,aer.fake_torino,-0.2038424519663966,-0.19615051009871545,0.007691941867681157,0.06795051009871556,81.63888523518108,20000,20000,0,2,32,20000,20000,568,682,568,682,[682-682-682-682-682-682-682-682-682-682-682-682-682-682-682-682-568-568-568-568-568-568-568-568-568-568-568-568-568-568-568-568]
1_QuantumVolume_012,9,ZIIIIIIII,noisy_vanilla,aer.fake_torino,-0.2038424519663966,-0.1281999999999999,0.07564245196639671,0.1281999999999999,2.90078002307564,20000,20000,0,,,,,,,,,
2_Clifford+T_016,9,ZIIIIIIII,cut_divided_budget,aer.fake_torino,-0.9999999999999998,-0.94229248,0.05770751999999979,0.28339248000000017,77.80191451497376,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
2_Clifford+T_016,9,ZIIIIIIII,cut_incremental_budget,aer.fake_torino,-0.9999999999999998,-0.9663999999999999,0.03359999999999985,0.3075000000000001,671.8455229650717,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
2_Clifford+T_016,9,ZIIIIIIII,cut_incremental_qubit_prop,aer.fake_torino,-0.9999999999999998,-0.9658651026392961,0.03413489736070363,0.30696510263929633,664.7927914399188,20000,12656,7344,2,32,20000,12656,341,909,341,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-341-341-341-341-341-341-341-341-341-341-341-341-341-341-341-341]
2_Clifford+T_016,9,ZIIIIIIII,cut_qubit_prop,aer.fake_torino,-0.9999999999999998,-0.9491433014269167,0.05085669857308306,0.2902433014269169,72.13011575909331,20000,20000,0,2,32,20000,20000,341,909,341,909,[909-909-909-909-909-909-909-909-909-909-909-909-909-909-909-909-341-341-341-341-341-341-341-341-341-341-341-341-341-341-341-341]
2_Clifford+T_016,9,ZIIIIIIII,noisy_vanilla,aer.fake_torino,-0.9999999999999998,-0.6588999999999998,0.34109999999999996,0.6588999999999998,2.4073190949857235,20000,20000,0,,,,,,,,,
3_Clifford+T_034,9,ZIIIIIIII,cut_divided_budget,aer.fake_torino,0.9999999999999996,0.9568000000000003,0.04319999999999924,0.2947000000000001,25.16062874579802,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
3_Clifford+T_034,9,ZIIIIIIII,cut_incremental_budget,aer.fake_torino,0.9999999999999996,0.9616000000000002,0.038399999999999324,0.2995,161.08869148301892,20000,3600,16400,2,8,20000,3600,2500,2500,450,450,[450-450-450-450-450-450-450-450]
3_Clifford+T_034,9,ZIIIIIIII,cut_incremental_qubit_prop,aer.fake_torino,0.9999999999999996,0.9616000000000002,0.038399999999999324,0.2995,178.04398833587766,20000,3600,16400,2,8,20000,3600,1000,4000,450,450,[450-450-450-450-450-450-450-450]
3_Clifford+T_034,9,ZIIIIIIII,cut_qubit_prop,aer.fake_torino,0.9999999999999996,0.9485000000000001,0.051499999999999435,0.2863999999999999,18.512169050984085,20000,20000,0,2,8,20000,20000,1000,4000,1000,4000,[4000-4000-4000-4000-1000-1000-1000-1000]
3_Clifford+T_034,9,ZIIIIIIII,noisy_vanilla,aer.fake_torino,0.9999999999999996,0.6621000000000002,0.3378999999999993,0.6621000000000002,2.7924013789743185,20000,20000,0,,,,,,,,,
4_Clifford+T_070,9,ZIIIIIIII,cut_divided_budget,aer.fake_torino,-0.9999999999999997,-0.8701183999999998,0.12988159999999982,0.21151840000000055,25.236667775083333,20000,20000,0,2,8,20000,20000,2500,2500,2500,2500,[2500-2500-2500-2500-2500-2500-2500-2500]
4_Clifford+T_070,9,ZIIIIIIII,cut_incremental_budget,aer.fake_torino,-0.9999999999999997,-0.8592000000000003,0.14079999999999937,0.200600000000001,182.19486671080813,20000,3600,16400,2,8,20000,3600,2500,2500,450,450,[450-450-450-450-450-450-450-450]
4_Clifford+T_070,9,ZIIIIIIII,cut_incremental_qubit_prop,aer.fake_torino,-0.9999999999999997,-0.8592000000000003,0.14079999999999937,0.200600000000001,175.69185500894673,20000,3600,16400,2,8,20000,3600,1000,4000,450,450,[450-450-450-450-450-450-450-450]
4_Clifford+T_070,9,ZIIIIIIII,cut_qubit_prop,aer.fake_torino,-0.9999999999999997,-0.8862335000000002,0.11376649999999944,0.22763350000000093,18.601004275958985,20000,20000,0,2,8,20000,20000,1000,4000,1000,4000,[4000-4000-4000-4000-1000-1000-1000-1000]
4_Clifford+T_070,9,ZIIIIIIII,noisy_vanilla,aer.fake_torino,-0.9999999999999997,-0.6585999999999993,0.34140000000000037,0.6585999999999993,2.692393371136859,20000,20000,0,,,,,,,,,
5_Clifford+T_106,9,ZIIIIIIII,cut_divided_budget,aer.fake_torino,0.0,0.04915967999999995,0.04915967999999995,0.04865967999999994,111.7764398988802,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
5_Clifford+T_106,9,ZIIIIIIII,cut_incremental_budget,aer.fake_torino,0.0,0.11999999999999997,0.11999999999999997,0.11949999999999997,843.7595408379566,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
5_Clifford+T_106,9,ZIIIIIIII,cut_incremental_qubit_prop,aer.fake_torino,0.0,0.12213333333333332,0.12213333333333332,0.12163333333333332,647.3950777850114,20000,13200,6800,2,32,20000,13200,375,875,375,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-375-375-375-375-375-375-375-375-375-375-375-375-375-375-375-375]
5_Clifford+T_106,9,ZIIIIIIII,cut_qubit_prop,aer.fake_torino,0.0,0.015241142857142871,0.015241142857142871,0.014741142857142866,109.23674472793937,20000,20000,0,2,32,20000,20000,375,875,375,875,[875-875-875-875-875-875-875-875-875-875-875-875-875-875-875-875-375-375-375-375-375-375-375-375-375-375-375-375-375-375-375-375]
5_Clifford+T_106,9,ZIIIIIIII,noisy_vanilla,aer.fake_torino,0.0,0.000500000000000006,0.000500000000000006,0.000500000000000006,2.741545215016231,20000,20000,0,,,,,,,,,
6_QuantumVolume_126,9,ZIIIIIIII,cut_divided_budget,aer.fake_torino,0.035888298244899086,0.01227264000000002,0.023615658244899064,0.01672735999999997,1106.1084909939673,20000,20000,0,2,32,20000,20000,625,625,625,625,[625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625-625]
6_QuantumVolume_126,9,ZIIIIIIII,cut_incremental_budget,aer.fake_torino,0.035888298244899086,0.02320000000000002,0.012688298244899067,0.005799999999999968,671.421416545054,20000,14400,5600,2,32,20000,14400,625,625,450,450,[450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450-450]
